"site","station","transect","session","date","trap_type","culex","aedes","wyeomyia"
"BRY",600,0,"BRY 01","3/20/2002","co2",0,0,0
"BRY",900,0,"BRY 01","3/20/2002","co2",0,0,0
"BRY",700,200,"BRY 01","3/20/2002","co2",0,0,1
"BRY",200,400,"BRY 01","3/20/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/20/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/20/2002","co2",0,0,0
"BRY",200,600,"BRY 01","3/20/2002","co2",0,0,0
"BRY",300,600,"BRY 01","3/20/2002","co2",0,0,0
"BRY",600,600,"BRY 01","3/20/2002","co2",0,0,0
"BRY",800,600,"BRY 01","3/20/2002","co2",1,0,0
"BRY",500,800,"BRY 01","3/20/2002","co2",0,0,0
"BRY",600,800,"BRY 01","3/20/2002","co2",0,0,0
"BRY",600,0,"BRY 01","3/21/2002","co2",0,0,0
"BRY",900,0,"BRY 01","3/21/2002","co2",0,0,0
"BRY",400,200,"BRY 01","3/21/2002","co2",0,1,0
"BRY",500,200,"BRY 01","3/21/2002","co2",0,0,0
"BRY",700,200,"BRY 01","3/21/2002","co2",0,0,2
"BRY",200,400,"BRY 01","3/21/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/21/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/21/2002","co2",0,0,0
"BRY",200,600,"BRY 01","3/21/2002","co2",0,0,0
"BRY",600,600,"BRY 01","3/21/2002","co2",0,0,0
"BRY",800,600,"BRY 01","3/21/2002","co2",0,0,1
"BRY",500,800,"BRY 01","3/21/2002","co2",0,0,0
"BRY",600,800,"BRY 01","3/21/2002","co2",0,0,0
"BRY",500,0,"BRY 01","3/22/2002","co2",0,0,0
"BRY",600,0,"BRY 01","3/22/2002","co2",1,0,0
"BRY",900,0,"BRY 01","3/22/2002","co2",0,1,2
"BRY",400,200,"BRY 01","3/22/2002","co2",0,0,0
"BRY",500,200,"BRY 01","3/22/2002","co2",1,0,0
"BRY",700,200,"BRY 01","3/22/2002","co2",0,0,4
"BRY",200,400,"BRY 01","3/22/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/22/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/22/2002","co2",0,0,0
"BRY",200,600,"BRY 01","3/22/2002","co2",0,0,0
"BRY",300,600,"BRY 01","3/22/2002","co2",0,0,0
"BRY",600,600,"BRY 01","3/22/2002","co2",0,0,1
"BRY",800,600,"BRY 01","3/22/2002","co2",0,0,1
"BRY",300,800,"BRY 01","3/22/2002","co2",0,0,0
"BRY",500,800,"BRY 01","3/22/2002","co2",0,0,0
"BRY",600,800,"BRY 01","3/22/2002","co2",0,0,0
"BRY",500,0,"BRY 01","3/23/2002","co2",1,0,0
"BRY",600,0,"BRY 01","3/23/2002","co2",0,0,1
"BRY",900,0,"BRY 01","3/23/2002","co2",2,1,0
"BRY",400,200,"BRY 01","3/23/2002","co2",0,0,0
"BRY",500,200,"BRY 01","3/23/2002","co2",0,0,0
"BRY",700,200,"BRY 01","3/23/2002","co2",0,0,1
"BRY",200,400,"BRY 01","3/23/2002","co2",0,0,0
"BRY",400,400,"BRY 01","3/23/2002","co2",0,0,0
"BRY",900,400,"BRY 01","3/23/2002","co2",0,0,0
"BRY",200,600,"BRY 01","3/23/2002","co2",0,0,0
"BRY",300,600,"BRY 01","3/23/2002","co2",0,0,0
"BRY",600,600,"BRY 01","3/23/2002","co2",2,0,0
"BRY",800,600,"BRY 01","3/23/2002","co2",0,0,0
"BRY",300,800,"BRY 01","3/23/2002","co2",0,0,0
"BRY",500,800,"BRY 01","3/23/2002","co2",0,0,0
