site,trap_type,transect,station,year,month,season,rainfall_season,x_long,y_lat,count,Cxpa,elevation,distance,precip,preciplag1,preciplag2,tmean,tmeanlag1,tmeanlag2,tmax,tmaxlag1,tmaxlag2,tmin,tminlag1,tminlag2
BRY,co2,0,900,2002,3,spring,wet,-154.9340034,19.4539657,2,1,296.9,169.66,318,358,397,19.04,17.88,19.32,23.11,21.64,23.23,14.96,14.11,15.4
BRY,co2,600,300,2002,3,spring,wet,-154.9281699,19.44868017,1,1,286.94,725.11,311,356,381,19.15,17.98,19.42,23.2,21.72,23.31,15.09,14.24,15.52
BRY,co2,600,500,2002,3,spring,wet,-154.9282382,19.45043189,0,0,279.56,531,312,360,385,19.19,18.03,19.46,23.23,21.75,23.34,15.15,14.3,15.58
BRY,co2,800,300,2002,3,spring,wet,-154.9263322,19.4486997,0,0,275.39,639.85,309,357,378,19.24,18.07,19.5,23.27,21.78,23.37,15.2,14.35,15.62
BRY,co2,800,600,2002,3,spring,wet,-154.92635,19.45136813,3,1,274.21,418.02,310,361,382,19.22,18.06,19.5,23.25,21.77,23.37,15.19,14.34,15.62
BRY,co2,0,900,2002,5,spring,dry,-154.9340034,19.4539657,0,0,296.9,169.66,302,181,318,21.06,20.62,19.04,24.95,24.82,23.11,17.16,16.41,14.96
BRY,co2,400,800,2002,5,spring,dry,-154.9301651,19.45312529,0,0,288.45,241.29,305,181,315,21.14,20.71,19.13,25.01,24.89,23.18,17.26,16.53,15.07
BRY,co2,400,900,2002,5,spring,dry,-154.9301762,19.45406069,0,0,286.42,137.52,305,181,315,21.15,20.71,19.13,25.02,24.89,23.18,17.27,16.53,15.07
BRY,co2,600,300,2002,5,spring,dry,-154.9281699,19.44868017,0,0,286.94,725.11,298,178,311,21.17,20.74,19.15,25.05,24.92,23.2,17.29,16.55,15.09
BRY,co2,800,300,2002,5,spring,dry,-154.9263322,19.4486997,0,0,275.39,639.85,300,178,309,21.26,20.83,19.24,25.11,24.99,23.27,17.4,16.66,15.2
BRY,co2,800,700,2002,5,spring,dry,-154.9263267,19.45226789,6,1,273.86,318.04,308,180,312,21.23,20.8,19.21,25.08,24.95,23.24,17.37,16.64,15.18
BRY,co2,0,400,2002,6,summer,dry,-154.9339791,19.44951145,0,0,309.46,303.99,178,294,179,21.78,21.03,20.59,26.48,24.94,24.81,17.07,17.12,16.37
BRY,co2,0,900,2002,6,summer,dry,-154.9340034,19.4539657,0,0,296.9,169.66,183,302,181,21.8,21.06,20.62,26.47,24.95,24.82,17.12,17.16,16.41
BRY,co2,200,100,2002,6,summer,dry,-154.9320614,19.44679597,0,0,303.58,515.83,177,291,177,21.84,21.09,20.65,26.53,24.99,24.86,17.14,17.18,16.43
BRY,co2,600,400,2002,6,summer,dry,-154.9282039,19.44955224,2,1,280.37,628.48,181,298,178,21.92,21.17,20.74,26.58,25.05,24.92,17.26,17.29,16.55
BRY,co2,600,900,2002,6,summer,dry,-154.9282527,19.45407213,2,1,278,127.02,186,306,180,21.94,21.2,20.77,26.57,25.06,24.93,17.31,17.34,16.6
BRY,co2,800,300,2002,6,summer,dry,-154.9263322,19.4486997,0,0,275.39,639.85,182,300,178,22,21.26,20.83,26.63,25.11,24.99,17.37,17.4,16.66
BRY,co2,800,900,2002,6,summer,dry,-154.9264148,19.45408263,1,1,274.59,117.03,187,308,180,21.97,21.23,20.8,26.59,25.08,24.95,17.35,17.37,16.64
BRY,co2,0,100,2002,7,summer,dry,-154.933909,19.44681241,0,0,314.62,321.5,142,176,290,22.15,21.77,21.02,25.97,26.48,24.94,18.33,17.05,17.1
BRY,co2,200,500,2002,7,summer,dry,-154.9320946,19.45039987,0,0,301.2,399.15,145,182,300,22.2,21.82,21.08,25.98,26.5,24.97,18.41,17.14,17.18
BRY,co2,200,900,2002,7,summer,dry,-154.9321566,19.45403056,0,0,291,175.68,147,184,303,22.23,21.85,21.11,25.99,26.51,24.99,18.46,17.19,17.22
BRY,co2,600,500,2002,7,summer,dry,-154.9282382,19.45043189,0,0,279.56,531,145,184,303,22.33,21.96,21.21,26.07,26.59,25.07,18.59,17.32,17.35
BRY,co2,600,900,2002,7,summer,dry,-154.9282527,19.45407213,0,0,278,127.02,147,186,306,22.32,21.94,21.2,26.05,26.57,25.06,18.58,17.31,17.34
BRY,co2,800,200,2002,7,summer,dry,-154.9263179,19.44776895,0,0,275.91,569.69,143,182,300,22.39,22,21.26,26.12,26.63,25.11,18.65,17.37,17.4
BRY,co2,800,800,2002,7,summer,dry,-154.9263703,19.45316688,0,0,275.08,218.46,146,187,308,22.35,21.97,21.23,26.07,26.59,25.08,18.62,17.35,17.37
BRY,co2,0,200,2002,8,summer,dry,-154.9339391,19.44771195,0,0,311.92,312.67,308,144,178,22.59,22.16,21.78,26.83,25.96,26.48,18.34,18.35,17.07
BRY,co2,0,300,2002,8,summer,dry,-154.933968,19.44857326,0,0,309.54,321.22,308,144,178,22.59,22.16,21.78,26.83,25.96,26.48,18.34,18.35,17.07
BRY,co2,200,200,2002,8,summer,dry,-154.9320334,19.44769557,0,0,302.1,513.52,308,144,179,22.66,22.23,21.85,26.88,26.01,26.52,18.44,18.44,17.17
BRY,co2,200,500,2002,8,summer,dry,-154.9320946,19.45039987,0,0,301.2,399.15,311,145,182,22.63,22.2,21.82,26.85,25.98,26.5,18.41,18.41,17.14
BRY,co2,600,100,2002,8,summer,dry,-154.9282531,19.44685457,0,0,281.32,642.94,305,141,178,22.81,22.38,22,26.99,26.12,26.64,18.62,18.63,17.35
BRY,co2,600,200,2002,8,summer,dry,-154.9282121,19.44775372,0,0,289.57,701.61,308,143,181,22.73,22.3,21.92,26.92,26.06,26.58,18.53,18.53,17.26
BRY,co2,800,800,2002,8,summer,dry,-154.9263703,19.45316688,0,0,275.08,218.46,314,146,187,22.77,22.35,21.97,26.93,26.07,26.59,18.61,18.62,17.35
BRY,co2,0,500,2002,9,fall,dry,-154.9339901,19.45043386,4,1,309.16,225.5,173,311,146,21.96,22.59,22.16,26.22,26.82,25.95,17.7,18.35,18.36
BRY,co2,200,200,2002,9,fall,dry,-154.9320334,19.44769557,5,1,302.1,513.52,169,308,144,22.04,22.66,22.23,26.29,26.88,26.01,17.78,18.44,18.44
BRY,co2,200,900,2002,9,fall,dry,-154.9321566,19.45403056,1,1,291,175.68,176,314,147,22.04,22.66,22.23,26.27,26.86,25.99,17.8,18.46,18.46
BRY,co2,400,900,2002,9,fall,dry,-154.9301762,19.45406069,0,0,286.42,137.52,175,314,147,22.08,22.69,22.27,26.3,26.88,26.02,17.85,18.5,18.51
BRY,co2,600,400,2002,9,fall,dry,-154.9282039,19.44955224,3,1,280.37,628.48,168,308,143,22.12,22.73,22.3,26.35,26.93,26.06,17.88,18.53,18.53
BRY,co2,800,500,2002,9,fall,dry,-154.9263725,19.45049689,2,1,273.45,514.84,171,311,145,22.18,22.79,22.36,26.38,26.96,26.09,17.97,18.62,18.63
BRY,co2,800,800,2002,9,fall,dry,-154.9263703,19.45316688,0,0,275.08,218.46,174,314,146,22.16,22.77,22.35,26.36,26.93,26.07,17.96,18.61,18.62
BRY,co2,0,400,2002,10,fall,dry,-154.9339791,19.44951145,1,1,309.46,303.99,134,170,308,22.26,21.96,22.59,26.67,26.23,26.83,17.84,17.69,18.34
BRY,co2,0,900,2002,10,fall,dry,-154.9340034,19.4539657,0,0,296.9,169.66,139,176,314,22.28,21.98,22.61,26.67,26.23,26.82,17.88,17.73,18.39
BRY,co2,200,200,2002,10,fall,dry,-154.9320334,19.44769557,2,1,302.1,513.52,134,169,308,22.33,22.04,22.66,26.72,26.29,26.88,17.93,17.78,18.44
