site,location,trap_type,transect,station,year,month,season,rainfall_season,x_long,y_lat,count,Cxpa,elevation,distance,precip,preciplag1,preciplag2,preciplag3,tmean,tmeanlag1,tmeanlag2,tmeanlag3,tmax,tmaxlag1,tmaxlag2,tmaxlag3,tmin,tminlag1,tminlag2,tminlag3
BRY,s5,co2,0,500,2002,3,spring,wet,-154.9339901,19.45043386,3,1,309.16,225.5,317,355,394,335,19.01,17.85,19.29,19.55,23.09,21.62,23.21,23.09,14.92,14.07,15.36,16
BRY,s6,co2,0,600,2002,3,spring,wet,-154.934019,19.45131096,1,1,308.17,173.68,317,355,394,335,19.01,17.85,19.29,19.55,23.09,21.62,23.21,23.09,14.92,14.07,15.36,16
BRY,s9,co2,0,900,2002,3,spring,wet,-154.9340034,19.4539657,2,1,296.9,169.66,318,358,397,337,19.04,17.88,19.32,19.57,23.11,21.64,23.23,23.11,14.96,14.11,15.4,16.03
BRY,s13,co2,200,400,2002,3,spring,wet,-154.9320509,19.44949421,0,0,299.34,451.37,314,353,387,332,19.07,17.91,19.35,19.61,23.14,21.66,23.25,23.14,15,14.15,15.44,16.08
BRY,s14,co2,200,500,2002,3,spring,wet,-154.9320946,19.45039987,7,1,301.2,399.15,316,357,390,335,19.05,17.89,19.33,19.59,23.12,21.65,23.24,23.12,14.98,14.12,15.42,16.05
BRY,s16,co2,200,700,2002,3,spring,wet,-154.9320967,19.45218842,0,0,299.2,363.31,317,360,394,337,19.09,17.93,19.37,19.62,23.15,21.68,23.27,23.14,15.03,14.17,15.46,16.1
BRY,s20,co2,400,200,2002,3,spring,wet,-154.9301249,19.44772565,0,0,299.07,714.58,312,354,384,331,19.1,17.93,19.37,19.63,23.16,21.68,23.27,23.15,15.03,14.18,15.46,16.11
BRY,s22,co2,400,400,2002,3,spring,wet,-154.9301372,19.44952551,0,0,292.15,627.04,312,354,384,331,19.1,17.93,19.37,19.64,23.16,21.68,23.27,23.16,15.03,14.18,15.46,16.11
BRY,s27,co2,400,900,2002,3,spring,wet,-154.9301762,19.45406069,1,1,286.42,137.52,315,362,391,336,19.13,17.96,19.4,19.66,23.18,21.7,23.3,23.17,15.07,14.22,15.5,16.14
BRY,s29,co2,600,200,2002,3,spring,wet,-154.9282121,19.44775372,0,0,289.57,701.61,311,356,381,331,19.15,17.98,19.42,19.68,23.2,21.72,23.31,23.19,15.09,14.24,15.52,16.17
BRY,s30,co2,600,300,2002,3,spring,wet,-154.9281699,19.44868017,1,1,286.94,725.11,311,356,381,331,19.15,17.98,19.42,19.68,23.2,21.72,23.31,23.19,15.09,14.24,15.52,16.17
BRY,s32,co2,600,500,2002,3,spring,wet,-154.9282382,19.45043189,0,0,279.56,531,312,360,385,333,19.19,18.03,19.46,19.72,23.23,21.75,23.34,23.22,15.15,14.3,15.58,16.22
BRY,s33,co2,600,600,2002,3,spring,wet,-154.9282589,19.4513514,2,1,279.72,429.04,312,360,385,333,19.19,18.03,19.46,19.72,23.23,21.75,23.34,23.22,15.15,14.3,15.58,16.22
BRY,s35,co2,600,800,2002,3,spring,wet,-154.9282655,19.4531511,5,1,279.71,229.31,314,364,388,336,19.19,18.02,19.46,19.72,23.22,21.74,23.34,23.21,15.15,14.29,15.58,16.22
BRY,s39,co2,800,300,2002,3,spring,wet,-154.9263322,19.4486997,0,0,275.39,639.85,309,357,378,330,19.24,18.07,19.5,19.76,23.27,21.78,23.37,23.25,15.2,14.35,15.62,16.27
BRY,s41,co2,800,500,2002,3,spring,wet,-154.9263725,19.45049689,1,1,273.45,514.84,310,361,382,332,19.22,18.06,19.5,19.75,23.25,21.77,23.37,23.24,15.19,14.34,15.62,16.26
BRY,s42,co2,800,600,2002,3,spring,wet,-154.92635,19.45136813,3,1,274.21,418.02,310,361,382,332,19.22,18.06,19.5,19.75,23.25,21.77,23.37,23.24,15.19,14.34,15.62,16.26
BRY,s5,co2,0,500,2002,5,spring,dry,-154.9339901,19.45043386,7,1,309.16,225.5,298,180,317,355,21.03,20.6,19.01,17.85,24.94,24.81,23.09,21.62,17.12,16.38,14.92,14.07
BRY,s6,co2,0,600,2002,5,spring,dry,-154.934019,19.45131096,0,0,308.17,173.68,298,180,317,355,21.03,20.6,19.01,17.85,24.94,24.81,23.09,21.62,17.12,16.38,14.92,14.07
BRY,s7,co2,0,700,2002,5,spring,dry,-154.9340494,19.45223084,1,1,305.79,157.81,302,181,318,358,21.06,20.62,19.04,17.88,24.95,24.82,23.11,21.64,17.16,16.41,14.96,14.11
BRY,s8,co2,0,800,2002,5,spring,dry,-154.9340261,19.45311022,0,0,302.37,152.23,302,181,318,358,21.06,20.62,19.04,17.88,24.95,24.82,23.11,21.64,17.16,16.41,14.96,14.11
BRY,s9,co2,0,900,2002,5,spring,dry,-154.9340034,19.4539657,0,0,296.9,169.66,302,181,318,358,21.06,20.62,19.04,17.88,24.95,24.82,23.11,21.64,17.16,16.41,14.96,14.11
BRY,s10,co2,200,100,2002,5,spring,dry,-154.9320614,19.44679597,0,0,303.58,515.83,291,177,312,349,21.09,20.65,19.06,17.89,24.99,24.86,23.13,21.65,17.18,16.43,14.98,14.12
BRY,s14,co2,200,500,2002,5,spring,dry,-154.9320946,19.45039987,5,1,301.2,399.15,300,180,316,357,21.08,20.64,19.05,17.89,24.97,24.84,23.12,21.65,17.18,16.44,14.98,14.12
BRY,s15,co2,200,600,2002,5,spring,dry,-154.9320956,19.45129325,2,1,300.98,372.34,300,180,316,357,21.08,20.64,19.06,17.89,24.97,24.84,23.13,21.65,17.18,16.44,14.98,14.13
BRY,s19,co2,400,100,2002,5,spring,dry,-154.9301096,19.44682578,1,1,293.57,701.84,293,177,311,350,21.17,20.73,19.14,17.96,25.05,24.92,23.19,21.71,17.28,16.53,15.08,14.21
BRY,s26,co2,400,800,2002,5,spring,dry,-154.9301651,19.45312529,0,0,288.45,241.29,305,181,315,362,21.14,20.71,19.13,17.96,25.01,24.89,23.18,21.7,17.26,16.53,15.07,14.22
BRY,s27,co2,400,900,2002,5,spring,dry,-154.9301762,19.45406069,0,0,286.42,137.52,305,181,315,362,21.15,20.71,19.13,17.96,25.02,24.89,23.18,21.7,17.27,16.53,15.07,14.22
BRY,s30,co2,600,300,2002,5,spring,dry,-154.9281699,19.44868017,0,0,286.94,725.11,298,178,311,356,21.17,20.74,19.15,17.98,25.05,24.92,23.2,21.72,17.29,16.55,15.09,14.24
BRY,s33,co2,600,600,2002,5,spring,dry,-154.9282589,19.4513514,0,0,279.72,429.04,303,179,312,360,21.21,20.78,19.19,18.03,25.07,24.95,23.23,21.75,17.35,16.61,15.15,14.3
BRY,s34,co2,600,700,2002,5,spring,dry,-154.9282784,19.45222004,5,1,279.66,332.72,306,180,314,364,21.2,20.77,19.19,18.02,25.06,24.93,23.22,21.74,17.34,16.6,15.15,14.29
BRY,s36,co2,600,900,2002,5,spring,dry,-154.9282527,19.45407213,4,1,278,127.02,306,180,314,364,21.2,20.77,19.19,18.02,25.06,24.93,23.22,21.74,17.34,16.6,15.15,14.29
BRY,s39,co2,800,300,2002,5,spring,dry,-154.9263322,19.4486997,0,0,275.39,639.85,300,178,309,357,21.26,20.83,19.24,18.07,25.11,24.99,23.27,21.78,17.4,16.66,15.2,14.35
BRY,s43,co2,800,700,2002,5,spring,dry,-154.9263267,19.45226789,6,1,273.86,318.04,308,180,312,365,21.23,20.8,19.21,18.05,25.08,24.95,23.24,21.77,17.37,16.64,15.18,14.33
BRY,s44,co2,800,800,2002,5,spring,dry,-154.9263703,19.45316688,1,1,275.08,218.46,308,180,312,365,21.23,20.8,19.22,18.05,25.08,24.95,23.25,21.77,17.37,16.64,15.18,14.33
